Country,Age_Standardized_Suicide_Rate,Age_Standardized_Suicide_Rate_Female,Age_Standardized_Suicide_Rate_Male,crude_suicide_80_above,crude_suicide_70to79,crude_suicide_60to69,crude_suicide_50to59,crude_suicide_40to49,crude_suicide_30to39,crude_suicide_20to29,crude_suicide_10to19,crude_suicide_80_above_male,crude_suicide_70to79_male,crude_suicide_60to69_male,crude_suicide_50to59_male,crude_suicide_40to49_male,crude_suicide_30to39_male,crude_suicide_20to29_male,crude_suicide_10to19_male,crude_suicide_80_above_female,crude_suicide_70to79_female,crude_suicide_60to69_female,crude_suicide_50to59_female,crude_suicide_40to49_female,crude_suicide_30to39_female,crude_suicide_20to29_female,crude_suicide_10to19_female,Regional_indicator,Happiness_Score,GDP_Per_Capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Social_Support_Level,Generosity_Level,Freedom_to_make_life_choices_level,Homicide_Rate,Homicide_Level,Crime_Index,Population,Crime_Level,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Stand_alone_law_for_mental_health,Stand_alone_policy_for_mental_health
saudi arabia,3.4,1.7,4.6,8.5,8.2,6.2,4.8,4.9,3.5,4.0,1.6,11.6,12.3,8.1,6.0,6.3,4.7,5.8,2.4,5.8,3.7,3.3,2.4,2.5,1.9,1.9,0.8,Middle East and North Africa,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,High,Very Low,High,1.3,Low,25.23,35340683.0,Very Low,0.079,0.013,0.507,,0.013,1.321,10.66,3.955,2.034,Yes,Yes
senegal,11.8,5.2,20.3,119.9,70.8,33.7,18.5,8.7,5.8,4.9,2.3,231.3,121.0,56.4,31.7,15.2,9.5,7.3,3.4,44.1,33.1,16.3,8.1,3.3,2.4,2.6,1.2,Sub-Saharan Africa,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,Very Low,Low,Very Low,,,,,,0.007,0.027,0.04,,0.027,0.2,0.267,0.067,0.02,Yes,Yes
serbia,10.9,5.2,17.3,64.6,43.2,22.2,22.2,15.7,10.1,5.9,1.3,121.1,70.6,35.4,35.3,23.9,15.0,9.1,2.2,33.7,23.0,10.6,9.8,7.6,5.1,2.5,0.3,Central and Eastern Europe,5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,High,Low,Low,1.1,Very Low,38.1,8697550.0,Low,,,,,,8.643,13.173,0.362,4.553,Yes,Yes
sierra leone,16.1,14.2,18.2,93.7,65.6,39.3,24.9,15.9,13.2,14.8,4.1,112.8,66.9,37.7,23.7,17.8,17.4,19.8,5.2,76.6,64.4,40.8,26.0,14.0,9.1,10.0,3.0,Sub-Saharan Africa,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,Very Low,Very High,Low,1.7,Low,,,,,,,,,0.041,0.332,0.028,0.028,No,Yes
singapore,7.9,4.9,11.1,26.8,22.8,15.6,12.4,11.3,7.6,7.6,3.7,46.1,36.5,22.8,18.2,14.8,9.8,10.7,4.0,14.7,11.0,8.6,6.6,7.9,5.6,4.3,3.3,Southeast Asia,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,Very High,High,Very High,0.2,Very Low,27.96,5896686.0,Very Low,0.018,0.072,0.217,0.163,0.054,4.191,,,,Yes,Yes
slovakia,10.1,2.6,18.4,21.7,19.5,17.6,21.9,16.6,11.8,9.2,2.5,55.5,43.0,32.4,37.8,29.1,20.6,16.1,4.1,6.7,4.8,5.2,6.8,3.8,2.5,2.1,0.9,Central and Eastern Europe,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,Very High,Low,Low,,,30.37,5460721.0,Very Low,,,,,,,,,,Yes,Yes
slovenia,13.3,4.5,22.4,38.9,35.8,26.7,26.4,19.1,14.2,12.3,3.0,96.4,60.0,41.0,44.8,30.8,23.7,20.9,4.9,12.2,17.0,12.8,7.6,6.6,3.8,3.1,0.9,Central and Eastern Europe,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,Very High,Low,Very High,0.9,Very Low,22.28,2078724.0,Very Low,0.241,0.048,5.832,2.121,3.518,11.953,36.727,1.976,9.302,Yes,No
south africa,12.8,5.1,21.7,33.3,28.1,23.9,24.7,18.5,14.4,12.6,4.2,61.6,48.9,41.7,42.9,31.5,23.7,20.6,6.1,22.1,15.5,10.4,9.4,6.1,4.7,4.4,2.3,Sub-Saharan Africa,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,High,Low,Low,35.9,Very High,76.86,60041994.0,Very High,0.116,0.072,0.11,,,1.521,,,,Yes,Yes
south sudan,6.1,4.1,8.3,42.7,27.6,14.4,9.7,5.6,4.7,4.7,1.6,71.6,39.4,18.2,12.4,7.3,6.5,6.3,1.8,21.0,17.5,10.9,7.2,3.9,2.8,3.1,1.3,Sub-Saharan Africa,2.816600084,7.425359726,0.553707123,51.0,0.451313615,0.016518548,0.763417304,Very Low,High,Very Low,,,,,,,0.008,0.008,,,0.025,0.017,,0.261,No,No
spain,6.1,3.1,9.3,21.2,14.2,10.6,11.8,10.6,6.6,5.1,1.5,41.3,22.7,15.9,18.1,15.6,9.8,7.6,2.0,9.5,7.2,5.8,5.6,5.4,3.3,2.5,1.0,Western Europe,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,Very High,Low,Low,0.7,Very Low,33.32,46745216.0,Low,,,,,,9.694,2.873,0.114,,No,Yes
